trp_player|Jugador
trp_player_pl|Jugador
trp_multiplayer_profile_troop_male|perfil miltijugador tropa masculina
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male
trp_multiplayer_profile_troop_female|multiplayer profile troop female
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_british_infantry_ai|Infantería de Línea Británica
trp_british_infantry_ai_pl|Infantería de Línea
trp_british_infantry2_ai|Infantería de Línea Germana
trp_british_infantry2_ai_pl|Infantería de Línea Germana
trp_british_highlander_ai|Infantería de Línea Escocesa
trp_british_highlander_ai_pl|Infantería de Línea Escocesa
trp_british_foot_guard_ai|Guardia a Pie Británica
trp_british_foot_guard_ai_pl|Guardia a Pie
trp_british_light_infantry_ai|Infantería Ligera Británica
trp_british_light_infantry_ai_pl|Infantería Ligera
trp_british_rifle_ai|Tirador Británico
trp_british_rifle_ai_pl|Tiradores
trp_british_hussar_ai|Húsar Británico
trp_british_hussar_ai_pl|Húsares
trp_british_light_dragoon_ai|Dragón Ligero Británico
trp_british_light_dragoon_ai_pl|Dragones Ligeros
trp_british_dragoon_ai|Dragón Británico
trp_british_dragoon_ai_pl|Dragón Peasado
trp_british_horseguard_ai|Guardia a Caballo Británico
trp_british_horseguard_ai_pl|Guardia a Caballo
trp_british_ship_ai|Marinero Británico
trp_british_ship_ai_pl|Marineros
trp_british_ship_marine_ai|Marina Británica
trp_british_ship_marine_ai_pl|Infantería de Marina
trp_british_arty_ai|Artillero Británico
trp_british_arty_ai_pl|Artillería (Cañón)
trp_british_arty_alt_ai|Artillero Británico
trp_british_arty_alt_ai_pl|Artillería (Howitzer)
trp_british_rocket_ai|Lanzador de Cohetes Británico
trp_british_rocket_ai_pl|Artillería de Cohetes
trp_french_infantry_ai|Infantería de Línea Francesa
trp_french_infantry_ai_pl|Infantería de Línea
trp_french_infantry2_ai|Granadero Francés
trp_french_infantry2_ai_pl|Granaderos
trp_french_infantry_vistula_ai|Infantería de Línea Polaca
trp_french_infantry_vistula_ai_pl|Infantería de Línea Polaca
trp_french_old_guard_ai|Guardia Granadero Francés
trp_french_old_guard_ai_pl|Guardias Granaderos
trp_french_voltigeur_ai|Voltigeur Francés
trp_french_voltigeur_ai_pl|Voltigeurs
trp_french_hussar_ai|Húsar Francés
trp_french_hussar_ai_pl|Húsares
trp_french_lancer_ai|Lancero Polaco
trp_french_lancer_ai_pl|Lanceros Polacos
trp_french_dragoon_ai|Dragón Francés
trp_french_dragoon_ai_pl|Dragones
